id,name,price,quantity
1135,DUST SEAL 18x27x6,35,252
1136,O RING NEUTRAL SWITCH,15,20
1137,OUTER RACE BOTTOM,285,3014
1138,BUNDY TUBE ASSY CENTER,285,500
1139,TENSIONER CAMCHAIN,145,610
1140,SHIM 6X12X1,5,228
1141,RESILIENT MOUNTING,280,45
1142,ELECTRONIC FLASHER UNIT,420,762
1143,INSULATOR PAD,30,41
1144,BUNDY TUBE ASSY FRONT,100,209
1145,CAP ASSY FUEL TANK 3ltr,60,200
1146,BRUSH BOX ASSY KIT,870,231
1147,SEALING RING HEADLAMP(Small Inner Side),60,3
1148,IGNITION COIL WITH SUP. CAP 4S,870,602
1149,STEERING COLUMN,3915,225
1150,Major Kit - Wheel Cylinder,175,89
1151,LAMP ASSY LICENSE PLATE,185,22
1152,DUST SEAL,35,29
1153,FRICTION PLATE ASSY,100,1755
1154,SHIM DIFFERENTIAL HOUSING  3 WHEELER,70,450
1155,INSERT TOP,30,40
1156,MASTER CYL SUB ASSY,2190,6
1157,KIT MINOR GASKET,425,40
1158,MASTER CYLINDER,2180,0
1159,Major Kit (Tandem master cylinder),775,7
1160,SILENT BLOCK TRAILING ARM FRONT,70,339
1161,FRONT INDICATOR LAMP RH.,355,8
1162,HEX NUT M14x2,20,1011
1163,BEADING GLASS W/S,1195,9
1164,SWITCH ASSY DASH BOARD,510,118
1165,AXLE FRONT,1295,29
1166,FRONT INDICATOR LAMP LH.,355,4
1167,O Ring 31.6x3,15,8
1168,GROMMET SILL LEVEL LH,60,109
1169,STARTER MOTOR - NEW,4855,331
1170,DISTANCE PIN FR AXLE,15,121
1171,GASKET HUB DRIVE,15,0
1172,BALL BEARING 35x62x9   #16007,345,250
1173,PULLEY PARKING BRAKE,30,160
1174,DUST SEAL TOP,15,140
1175,HORN 12V DC,330,127
1176,RING GEAR ES,520,129
1177,ROD COMP CLUTCH RELEASE,235,0
1178,SHAFT COMP FAREMETER DRIVE,175,40
1179,SPACER CLUTCH,120,62
1180,COVER AIR INLET,55,92
1181,WASHER CLUTCH JUDDER,130,60
1182,OIL STRAINER,25,117
1183,4S GASKET EXHAUST NEW LE,60,10
1184,REGULATOR CUM RECTIFIER,975,82
1185,NEEDLE ROLLER BEARING 18X24X14,155,218
1186,SIDE BLOCK SOFT TOP,50,25
1187,LOCK SET 3W,1060,6
1188,PACKING PARKING BRAKE (AA),10,40
1189,CRR PAN HEAD SCREW M5 x 16,5,3
1190,seal air filter,45,118
1191,SHIM 15x21x0.5 OILED [TSDS0402],5,500
1192,CABLE THROTTLE ASSY W/O TPS,280,86
1193,CLIP BELLOW SMALL END 25MM DIA,80,10
1194,HEX NUT M8,5,40
1195,PULLER ASSY MAGNETO,1875,230
1196,HOLDER ASSY MAGNETO,2065,226
1197,GUARD STEP THRU,1405,5
1198,BRKT COWL-WINDSHIELD,50,5
1199,KEY  PRM DRN GR,20,258
1200,GASKET PIPE INTAKE,25,182
1201,FRONT INDICATOR GLASS LH,120,32
1202,PUNCHED WASHER 18x39x3,20,19
1203,SPEEDOMETER ASSY,875,60
1204,SPRING CLUTCH JUDDER,170,23
1205,ENGINE VALVE KIT,775,3020
1206,BRAKE DRUM,1140,328
1207,RIM ASSY,1590,27
1208,SPRING HANDSTART,70,1
1209,Piston Ring Set Std 4S,680,5
1210,FRONT INDICATOR GLASS  RH,110,118
